feedback,label
"The mentorship program was absolutely amazing and very helpful",positive
"I learned so many new skills during my internship",positive
"The team was welcoming and always ready to help me",positive
"Great work environment and excellent learning opportunities",positive
"I enjoyed the projects and felt my contributions were valued",positive
"The onboarding process was smooth and well organized",positive
"My manager gave great feedback and helped me grow professionally",positive
"Excellent exposure to real world industry projects",positive
"I felt very supported throughout my entire internship",positive
"The company culture is inclusive and very collaborative",positive
"The internship was okay but nothing particularly exciting",neutral
"Work was average with some good and some bad days",neutral
"The experience was decent but could have been better",neutral
"Some tasks were interesting but others felt repetitive",neutral
"Mixed experience overall with room for improvement",neutral
"The pay was poor and did not match the workload given",negative
"I felt ignored by my supervisor most of the time",negative
"There was no proper guidance or mentorship provided",negative
"The onboarding was confusing and very poorly organized",negative
"I was given too much work with very little support",negative
"The internship did not match what was described initially",negative
"I did not learn anything useful during my time here",negative
"The work environment was toxic and very stressful",negative
"No feedback was ever given on my submitted work",negative
"I felt like a burden rather than a valued team member",negative
